Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;Curricular units 1st sem (enrolled);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Target
1;0;0;55;5;1;10;5;2;12;Dropout
1;0;0;39;5;5;11;5;5;11,6;Graduate
0;0;0;20;6;3;11,67;6;3;12;Dropout
1;0;0;18;6;4;12,75;5;0;0;Dropout
1;0;0;22;5;5;14,8;5;5;15,8;Graduate
1;0;0;22;7;5;13,93;8;7;14,34;Graduate
0;0;0;20;6;4;13;6;5;13,8;Dropout
1;0;0;29;5;0;0;5;0;0;Dropout
1;0;0;24;5;2;11,5;5;3;14,33;Enrolled
1;0;0;18;6;6;11,67;6;5;13,2;Graduate
1;0;1;22;7;6;13,52;8;7;13,77;Graduate
1;0;1;21;6;6;11,5;6;6;13,29;Graduate
1;0;1;19;6;5;12,33;6;6;12,83;Graduate
1;0;1;24;6;6;13,67;6;6;14,17;Graduate
1;0;1;19;8;6;11,83;8;6;11,83;Enrolled
1;0;1;20;6;4;14;6;3;11;Enrolled
1;0;0;19;5;5;14,71;5;5;15,8;Graduate
1;0;0;27;5;5;10,6;5;5;11;Dropout
1;0;0;18;7;7;13,04;8;8;13,6;Graduate
1;0;0;39;6;0;0;6;0;0;Dropout
1;0;0;27;6;5;13;11;10;12,9;Dropout
1;0;0;18;8;8;14,94;8;8;14,94;Graduate
1;0;0;18;0;0;0;0;0;0;Enrolled
1;0;0;18;7;6;13,13;8;7;12,22;Graduate
1;0;1;21;6;6;12;6;6;12;Graduate
1;1;1;19;0;0;0;0;0;0;Enrolled
1;1;0;19;6;5;11,4;6;1;10;Enrolled
1;1;0;24;6;0;0;6;0;0;Enrolled
1;1;0;29;7;5;11,9;8;5;11;Dropout
1;1;1;19;0;0;0;0;0;0;Graduate
1;1;0;23;6;6;12,57;6;6;12,43;Graduate
1;1;0;19;5;5;11,2;5;4;10,75;Dropout
1;1;0;26;6;6;12;6;5;10,8;Enrolled
1;1;0;18;5;0;0;5;0;0;Enrolled
1;1;0;24;7;7;11,98;8;8;13,75;Graduate
1;1;0;19;0;0;0;0;0;0;Dropout
1;1;0;18;6;3;11,67;6;1;12;Dropout
1;1;0;18;6;6;12,33;6;3;12,33;Graduate
1;1;0;18;5;3;10,33;5;3;10,86;Dropout
1;1;1;21;6;4;10,5;6;1;11;Dropout
1;1;1;19;6;6;13,67;6;6;13,33;Graduate
1;1;1;22;7;7;14,84;8;8;15,06;Graduate
1;1;0;33;6;6;12;6;6;11,67;Graduate
1;1;0;20;6;5;12,2;6;5;12,2;Dropout
1;1;0;35;1;0;0;5;0;0;Dropout
1;1;0;24;12;6;12,17;12;10;13,3;Dropout
1;1;0;18;5;5;12;5;3;11,33;Enrolled
1;0;0;33;6;6;11;6;5;11;Graduate
1;0;1;22;8;7;13,08;8;7;13,08;Graduate
1;0;1;25;5;4;10,5;5;5;11,6;Graduate
1;1;0;20;6;6;10,67;6;5;11,2;Graduate
1;1;0;23;5;4;14;5;5;13,8;Enrolled
1;1;0;18;5;2;10;5;0;0;Enrolled
1;1;0;24;7;0;0;7;0;0;Dropout
0;0;0;21;6;6;14;6;6;13,5;Graduate
1;0;0;26;6;2;12;6;0;0;Dropout
1;0;0;39;6;3;12,67;6;0;0;Dropout
1;0;0;44;8;8;11,88;6;6;12,33;Graduate
1;1;0;19;5;5;14;5;3;13,25;Enrolled
1;0;0;18;6;6;13,67;6;6;13,33;Graduate
1;0;1;18;7;7;13,75;8;8;14,48;Graduate
1;0;0;19;5;5;14,2;5;5;13,8;Enrolled
0;0;0;19;7;4;11,96;7;0;0;Dropout
1;0;0;21;10;8;12,88;9;5;13,4;Dropout
1;0;0;20;0;0;0;0;0;0;Graduate
1;0;0;36;6;0;0;6;0;0;Dropout
1;0;0;43;18;18;14,63;13;13;14,23;Graduate
1;0;0;19;6;0;0;6;0;0;Dropout
1;0;0;20;10;10;13;11;11;12,27;Graduate
1;0;0;19;6;0;0;6;0;0;Dropout
1;0;0;20;6;4;14,2;6;4;13,25;Dropout
1;0;0;20;7;6;13,27;7;5;12,3;Dropout
1;0;0;20;7;6;11,67;7;3;13;Enrolled
1;0;0;18;6;6;13,86;6;6;15;Graduate
1;0;1;18;5;3;13;5;3;11;Enrolled
1;0;0;19;5;5;13,4;5;5;12,8;Graduate
1;0;0;18;6;6;12,67;6;6;12,57;Graduate
1;0;0;18;7;6;12,52;7;6;12,52;Dropout
1;0;0;20;7;6;11,62;7;7;13;Enrolled
1;0;1;20;6;2;10;6;4;10,75;Enrolled
1;0;0;20;5;3;10,33;5;3;10,67;Enrolled
1;0;0;18;5;5;13,14;5;5;11,4;Graduate
1;0;0;18;5;5;12,6;5;5;14;Graduate
1;0;0;21;6;3;11;6;2;11;Dropout
1;0;0;19;5;5;10,8;5;4;11,25;Graduate
1;0;0;19;0;0;0;0;0;0;Dropout
1;0;1;19;5;5;12,8;5;5;14,2;Graduate
1;0;0;19;6;6;14,17;6;6;12,2;Graduate
1;0;0;19;7;5;12,1;7;0;0;Dropout
1;0;0;20;6;6;14,17;6;5;13,78;Graduate
1;0;1;18;6;5;12,8;6;5;13,4;Enrolled
1;0;0;18;6;6;13;6;6;13,67;Graduate
1;0;0;19;7;7;13,47;8;8;15,01;Graduate
1;0;1;18;7;7;13,24;8;7;13,74;Dropout
1;0;0;18;6;6;12,33;6;6;13;Graduate
1;0;0;19;5;5;12,4;5;5;14,6;Graduate
1;0;0;19;7;5;14;7;0;0;Dropout
1;0;0;20;9;9;11,67;7;7;11,71;Graduate
0;0;1;19;6;5;12;6;4;12,5;Dropout
1;0;0;20;5;4;12,2;5;4;11,5;Graduate
1;0;1;18;6;6;14,83;6;6;14,83;Graduate
1;0;1;20;7;5;13,19;8;7;12,89;Enrolled
1;0;0;18;7;7;17,13;8;8;17,59;Graduate
1;0;0;19;7;6;12,67;7;6;12,67;Graduate
1;0;1;19;6;6;12,67;6;5;12;Graduate
0;0;0;22;5;0;0;5;0;0;Enrolled
1;0;1;19;6;6;11,33;6;6;11,5;Graduate
1;0;1;19;7;7;13,61;8;8;12,33;Graduate
1;0;1;19;6;5;12;6;5;10,8;Graduate
1;0;0;19;5;0;0;5;0;0;Dropout
1;0;0;20;6;5;11,2;6;3;11,67;Dropout
1;0;0;18;5;5;13,38;5;5;14,17;Graduate
1;0;1;20;7;6;13,86;8;7;14,18;Graduate
1;0;0;18;0;0;0;0;0;0;Enrolled
1;0;0;19;5;5;12,4;5;5;13,4;Graduate
1;0;0;18;6;3;12,33;6;5;10,83;Enrolled
1;0;0;18;6;6;13,33;6;5;11,8;Graduate
1;0;0;21;6;3;12,67;6;3;10;Dropout
1;0;0;19;6;6;12;6;4;11,5;Dropout
1;0;1;18;5;5;10,6;5;5;11,8;Graduate
1;0;1;18;6;6;12,25;6;6;11,86;Graduate
1;0;0;20;6;4;11;6;6;11,83;Graduate
1;0;1;24;6;5;11;6;5;12,6;Graduate
1;0;0;19;6;6;13,17;6;6;13;Dropout
1;0;1;18;7;7;12,86;8;7;12,76;Graduate
1;0;0;18;7;7;14,92;8;8;15,36;Graduate
1;0;0;21;6;4;11,5;6;3;11;Dropout
1;0;0;19;5;5;14,2;5;5;14,2;Graduate
1;0;1;19;6;6;12,5;6;6;13;Graduate
1;0;0;47;1;0;0;6;0;0;Enrolled
1;0;0;19;6;5;11,67;6;4;11;Graduate
1;0;0;29;8;7;14,26;8;7;14,26;Graduate
1;0;0;21;6;3;12;6;2;11,33;Dropout
1;0;0;28;5;4;11,25;5;4;10,5;Enrolled
1;0;0;20;7;7;12,46;8;8;13,56;Graduate
1;0;0;19;7;6;11,68;7;6;11,68;Graduate
1;0;0;26;6;3;11,67;6;5;12;Graduate
0;0;0;20;6;4;11,75;6;6;13,17;Dropout
1;0;1;18;5;3;11,67;5;4;13,5;Enrolled
1;0;0;27;6;5;13,2;6;5;12;Graduate
1;0;0;20;7;4;11,95;7;4;11,95;Dropout
1;0;0;18;6;5;12,4;6;5;10,4;Dropout
1;0;0;33;7;6;14,35;8;6;14,58;Dropout
1;0;0;35;21;21;12,62;19;19;12,79;Graduate
1;0;1;26;6;6;12,67;6;6;13,17;Enrolled
0;0;0;27;6;5;12;6;0;0;Dropout
0;0;0;19;6;6;12,17;6;0;0;Dropout
1;0;0;20;6;0;0;6;0;0;Dropout
0;0;0;20;5;3;10;5;3;10,57;Dropout
0;0;0;21;10;8;11,5;6;4;10;Enrolled
1;0;1;18;7;6;13,05;7;6;13,05;Graduate
1;0;0;24;6;2;11;6;0;0;Dropout
1;0;0;20;6;6;11,5;6;6;12;Graduate
1;0;1;21;6;6;12;6;6;12,5;Graduate
1;0;0;23;6;2;10;5;1;10;Enrolled
1;0;0;24;5;0;0;5;0;0;Dropout
1;0;0;21;6;0;0;6;0;0;Dropout
1;0;0;18;8;7;12,24;8;7;12,24;Graduate
1;0;0;27;5;0;0;5;0;0;Dropout
1;0;0;18;8;8;12,93;8;8;12,93;Graduate
1;0;0;35;5;0;0;5;0;0;Dropout
1;0;0;18;7;7;12,57;7;7;14,43;Graduate
1;0;0;35;3;3;11,82;3;3;11,33;Enrolled
1;0;0;19;5;4;13,75;5;4;14,33;Graduate
1;0;0;20;6;6;11,17;6;6;11,33;Graduate
1;0;0;18;8;7;12,32;8;7;12,32;Graduate
1;0;0;21;6;6;12,17;6;6;11,71;Graduate
1;0;1;18;6;5;11,14;6;4;11,25;Graduate
1;0;0;18;6;4;11;6;4;10,75;Graduate
1;0;0;18;8;7;12,91;8;7;12,91;Graduate
1;0;1;18;6;6;13,83;6;6;14,17;Graduate
1;0;0;19;6;6;13,86;6;5;13,4;Graduate
1;0;1;36;6;6;13,71;6;5;12,8;Dropout
1;0;1;18;8;7;12,64;8;7;12,64;Graduate
1;0;1;18;7;6;12,92;7;6;12,92;Graduate
1;0;1;20;6;6;15,63;6;6;15,86;Graduate
1;0;1;26;5;0;0;5;0;0;Dropout
1;0;0;21;6;6;11,71;6;6;12;Graduate
1;0;0;25;7;6;12,13;8;8;13,31;Enrolled
1;0;1;19;5;5;11,6;5;5;11,6;Graduate
1;0;0;24;6;1;10;6;0;0;Dropout
1;0;1;27;6;1;10;6;0;0;Dropout
1;0;0;21;5;0;0;5;2;13,5;Dropout
1;0;1;18;5;4;13;5;3;12,33;Graduate
1;0;1;19;6;6;13,33;6;6;14,5;Graduate
1;0;0;18;6;4;11,25;6;2;12,5;Dropout
1;0;1;19;7;5;13,85;8;7;12,19;Graduate
1;0;1;19;7;6;13,74;8;7;14,91;Graduate
1;0;0;33;6;6;15,33;5;5;15,8;Graduate
1;0;0;45;5;5;11;5;5;13,8;Graduate
1;0;1;20;6;6;12;6;6;12,86;Graduate
1;0;0;28;5;0;0;5;0;0;Dropout
1;0;1;19;8;7;11,57;8;7;11,57;Graduate
1;0;0;18;6;6;12,86;6;3;12,67;Graduate
1;0;0;38;6;0;0;6;0;0;Dropout
1;0;0;19;5;5;13;5;5;13,2;Graduate
1;0;1;21;6;5;11;6;5;12;Graduate
1;0;0;21;5;3;12;5;1;15;Dropout
1;0;1;22;6;5;12,6;6;6;13;Graduate
1;0;1;18;6;5;13,4;6;6;13,17;Graduate
1;0;1;18;6;6;11,33;6;6;11,57;Graduate
0;0;0;25;5;4;13,5;5;4;14,25;Dropout
0;0;0;24;6;3;11,75;6;3;10,33;Dropout
1;0;0;19;7;6;12,47;7;7;11,46;Enrolled
1;0;0;24;17;11;12,91;13;9;13,56;Enrolled
1;0;1;20;5;5;11,6;5;5;13,6;Graduate
0;0;0;25;5;0;0;5;0;0;Dropout
1;0;1;20;10;9;12,9;10;10;12,36;Graduate
1;0;0;23;8;8;13,22;8;8;13,22;Graduate
1;0;1;19;8;7;13,15;8;7;13,15;Graduate
0;0;0;29;6;3;12,75;6;3;11,33;Dropout
1;0;0;21;6;6;11,33;6;4;12,25;Graduate
1;0;1;18;6;6;13,25;6;5;14,14;Graduate
1;0;0;19;6;5;12,4;6;5;12,4;Enrolled
1;0;1;18;6;6;15;6;6;12,83;Dropout
1;0;0;19;5;5;14,4;5;5;13;Graduate
1;0;0;18;6;1;11;6;0;0;Enrolled
1;0;0;18;5;5;12,4;5;5;10,8;Graduate
0;0;1;37;7;1;16;7;0;0;Dropout
1;0;0;29;5;5;13,57;5;5;12,33;Graduate
1;0;0;18;6;6;11,83;6;6;12,5;Enrolled
1;0;1;19;6;5;11,67;6;5;12,67;Graduate
0;0;0;22;10;6;11,83;7;2;13;Dropout
1;0;1;20;6;6;11,17;6;5;10,6;Graduate
1;0;0;34;6;0;0;6;0;0;Dropout
0;0;0;30;12;8;11,75;12;6;12,17;Dropout
1;0;0;18;6;6;14;6;6;14;Graduate
1;0;0;18;6;6;12,83;6;6;12;Graduate
1;0;0;18;6;4;12,25;6;3;11,67;Graduate
1;0;0;18;8;7;14,83;8;7;14,83;Graduate
1;0;1;19;6;5;11,4;6;5;12,8;Graduate
1;0;1;19;6;6;13;6;6;12,5;Graduate
1;0;1;18;8;7;13,67;8;7;13,67;Graduate
1;0;1;21;6;6;12,67;6;5;12,8;Graduate
0;0;0;20;5;2;10;5;1;13;Dropout
1;0;0;20;5;5;13,5;5;5;12,33;Graduate
1;0;0;19;7;7;12,67;8;8;13,55;Graduate
1;0;0;20;6;6;14,5;6;6;15,43;Graduate
1;0;0;18;7;7;13,69;8;8;15,39;Graduate
1;0;0;20;6;5;11;6;3;10,67;Dropout
0;0;0;29;9;7;11,56;7;5;13,2;Dropout
1;0;1;18;7;7;13,8;8;8;13,78;Enrolled
1;0;1;20;7;7;14;8;7;13,81;Graduate
1;0;1;22;5;4;12;5;4;11,4;Graduate
1;0;1;47;6;5;14,17;6;6;14,17;Graduate
1;0;0;31;5;5;14;5;5;13,8;Graduate
1;0;1;21;6;5;13,8;6;6;12,83;Graduate
1;0;0;21;6;5;12,8;6;6;11,86;Graduate
1;0;0;24;6;6;12,17;6;6;13,83;Graduate
1;0;0;18;6;6;12,5;6;6;12,33;Enrolled
1;0;0;32;6;4;12;6;4;11,5;Graduate
1;0;1;19;6;6;10,83;6;6;11,5;Graduate
1;0;0;24;8;8;13,39;8;8;13,39;Graduate
1;0;0;19;6;6;15,67;6;6;14,5;Graduate
1;0;1;19;6;6;14,33;6;6;13,83;Graduate
1;0;0;24;6;6;11,43;6;5;13;Enrolled
1;0;1;18;6;6;11,67;6;6;11,67;Graduate
1;0;1;19;6;5;12;6;2;11,33;Dropout
1;0;1;19;8;7;14,73;8;7;14,73;Graduate
1;0;1;18;6;6;14,17;6;6;13,67;Graduate
1;0;0;18;6;6;11,57;6;6;12,33;Graduate
1;0;0;20;7;7;12,5;8;8;13,14;Graduate
1;0;0;18;8;8;12,86;8;8;12,86;Graduate
1;0;0;18;6;6;12,25;6;6;13,71;Graduate
1;0;1;21;5;4;12;5;5;12,2;Graduate
1;0;1;18;7;7;15,12;8;8;16,17;Graduate
0;0;0;18;5;2;12,5;5;4;10,25;Dropout
1;0;0;19;6;0;0;6;0;0;Dropout
1;0;0;19;6;4;11;6;4;11;Enrolled
1;0;0;18;6;6;11,88;6;4;14,6;Graduate
1;0;0;34;5;1;11;5;0;0;Dropout
1;0;0;19;5;5;15,2;5;5;13,2;Graduate
0;0;0;19;6;5;11,6;6;2;11;Dropout
1;0;0;26;6;6;14,83;6;6;15,14;Graduate
1;0;0;21;6;3;11,33;6;3;11,33;Dropout
1;0;1;18;5;5;11,2;5;5;11,8;Graduate
1;0;1;20;6;5;13,4;6;5;13,67;Graduate
1;0;0;25;5;2;10,5;5;0;0;Dropout
1;0;0;18;5;5;16,2;5;5;16,4;Graduate
1;0;1;18;7;7;14,54;8;8;14,88;Graduate
1;0;0;19;7;7;13,69;8;8;14,36;Graduate
1;0;1;18;6;6;11,29;6;6;11,86;Graduate
1;0;0;20;7;6;11,76;8;6;13,08;Enrolled
0;0;0;26;3;0;0;6;0;0;Dropout
1;0;1;19;8;7;13,06;8;7;13,06;Graduate
1;0;0;19;7;7;14,3;8;8;14,06;Graduate
1;0;0;19;10;5;11,8;10;8;12;Graduate
1;0;0;19;5;3;10,33;5;3;13;Enrolled
1;0;0;18;6;6;10,57;6;3;11,67;Graduate
1;0;0;19;7;6;13,33;7;6;13,33;Graduate
1;0;0;18;6;6;11,86;6;5;11;Graduate
1;0;0;18;6;5;12,6;6;5;11,4;Enrolled
1;0;0;18;5;5;14;5;5;11,6;Enrolled
1;0;0;18;7;5;12;7;6;12,67;Enrolled
1;0;0;26;5;0;0;5;0;0;Dropout
1;0;0;20;6;6;12;6;6;13;Graduate
1;0;0;19;6;6;12,67;6;6;11,67;Graduate
1;0;1;18;6;6;12,17;6;6;13,67;Graduate
1;0;0;19;6;6;13,33;6;6;14,67;Graduate
1;0;0;40;7;7;15;7;7;14,57;Graduate
1;0;1;18;8;8;13,39;8;8;13,39;Graduate
1;0;0;19;6;5;12,17;6;6;12,43;Graduate
1;0;0;18;5;4;11,25;5;4;12,5;Graduate
1;0;0;19;5;4;12;5;3;12;Enrolled
1;0;0;18;0;0;0;0;0;0;Dropout
1;0;0;33;6;6;12,83;6;6;12,86;Graduate
1;0;0;35;6;6;14;6;6;13,1;Graduate
1;0;0;26;5;4;13;5;2;12;Enrolled
1;0;0;18;6;6;13,5;6;6;12,5;Graduate
1;0;0;36;16;13;10,69;13;9;12,31;Enrolled
1;0;0;39;5;5;11;5;5;11,67;Graduate
1;0;0;44;6;6;13;6;6;13,83;Graduate
1;0;0;20;6;5;12;6;4;11,25;Enrolled
1;0;0;24;6;4;12,6;6;4;11,5;Dropout
1;0;1;20;6;6;13,67;6;6;13,33;Graduate
0;0;0;19;0;0;0;0;0;0;Dropout
1;0;1;18;7;6;14,2;7;6;14,2;Graduate
0;0;0;22;6;5;11;6;0;0;Dropout
1;0;0;18;6;6;15;6;6;16,43;Graduate
1;0;0;24;7;6;12,59;8;7;13,44;Graduate
1;0;0;33;5;0;0;5;0;0;Dropout
1;0;1;30;6;0;0;6;0;0;Enrolled
1;0;0;26;6;0;0;6;0;0;Dropout
1;0;0;18;6;6;11,67;6;6;11,83;Graduate
1;0;0;19;6;3;12,67;6;2;10;Dropout
1;0;0;20;5;3;10,33;5;4;11;Enrolled
1;0;1;22;11;8;13,5;9;7;13,71;Graduate
1;0;0;19;7;5;13,98;7;5;13,98;Enrolled
1;0;1;21;6;6;16,15;6;6;15,75;Graduate
1;0;1;21;7;6;14,03;7;6;14,03;Graduate
1;0;0;19;5;1;11;5;5;11,2;Enrolled
1;0;1;19;7;7;13,86;7;6;13,67;Graduate
1;0;0;18;8;7;13,41;8;7;13,41;Dropout
1;0;0;50;11;11;13,55;7;7;13,57;Graduate
1;0;1;31;5;4;11,25;5;4;10,83;Enrolled
1;0;1;19;6;6;13,83;6;6;14,43;Graduate
1;0;0;35;5;5;12;5;5;12,86;Graduate
1;0;0;31;6;0;0;6;0;0;Dropout
1;0;0;42;11;10;11,9;11;10;12,8;Enrolled
0;0;0;34;5;0;0;5;0;0;Dropout
1;0;1;18;7;7;15,14;8;8;15,29;Graduate
0;0;1;18;7;7;12,29;7;6;13,33;Enrolled
1;0;0;21;6;5;12,67;6;2;13,5;Enrolled
1;0;1;26;7;5;12,74;8;6;10,98;Dropout
1;0;0;20;7;6;13,25;8;8;13,75;Enrolled
1;0;0;19;6;3;10,33;6;3;10,33;Enrolled
1;0;1;19;6;6;13,43;6;6;13,17;Graduate
1;0;0;20;11;9;12,56;9;8;11,11;Graduate
1;0;0;19;6;6;11,5;6;6;11,17;Graduate
1;0;0;18;6;6;13,67;6;6;12,33;Graduate
1;0;0;28;14;11;11,27;11;10;12;Graduate
1;0;0;22;6;5;13,17;6;5;12,4;Enrolled
1;0;1;21;6;6;14,67;6;6;14,17;Graduate
1;0;0;21;6;4;12,75;6;1;11;Enrolled
1;0;0;26;7;5;11,2;8;5;12,14;Enrolled
0;0;0;18;6;5;13;6;5;11,4;Dropout
0;0;0;20;5;2;10,5;5;2;12,33;Dropout
1;0;0;18;6;6;14,86;6;6;14;Graduate
1;0;1;19;8;7;12,86;8;7;12,86;Graduate
1;0;0;20;11;11;11,73;11;11;12;Graduate
1;0;1;22;6;6;13,14;6;3;12;Graduate
1;0;0;18;6;5;11,8;6;4;13,71;Dropout
1;0;0;19;5;3;10,67;5;0;0;Dropout
1;0;1;18;6;5;11,6;6;4;11,2;Enrolled
1;0;0;20;6;3;10,33;6;3;10,33;Enrolled
1;0;0;19;6;4;12,25;6;3;11;Enrolled
1;0;0;19;6;6;12;6;4;12,75;Enrolled
1;0;0;19;8;7;14,73;8;7;14,73;Graduate
1;0;0;18;0;0;0;0;0;0;Graduate
1;0;0;21;13;13;13,62;12;12;14,25;Graduate
1;0;0;27;5;5;15,8;5;5;14,8;Graduate
1;0;0;19;6;6;14,67;6;6;14,57;Graduate
1;0;0;25;5;0;0;5;0;0;Dropout
1;0;1;18;8;7;14,65;8;7;14,65;Graduate
1;0;0;24;8;7;12,4;8;7;12,4;Graduate
1;0;0;20;7;7;11,59;8;7;14,07;Graduate
1;0;0;26;5;5;14;5;5;15,6;Graduate
1;0;1;20;6;6;12,33;6;6;11,83;Graduate
1;0;0;18;5;5;14;5;5;15,4;Graduate
1;0;0;19;6;6;15,23;6;6;12,38;Graduate
1;0;0;23;6;5;11,6;6;3;11;Dropout
1;0;1;18;7;6;11,6;7;6;11,6;Graduate
1;0;0;18;7;0;0;8;0;0;Dropout
1;0;1;19;7;7;12,9;8;8;13,09;Graduate
1;0;0;30;7;7;14,14;5;5;14,8;Graduate
1;0;0;29;6;0;0;6;0;0;Dropout
1;0;0;19;8;8;13,25;8;8;13,25;Graduate
1;0;0;20;7;7;13,79;8;8;14,1;Graduate
1;0;0;20;7;6;13,92;7;6;13,92;Graduate
1;0;0;19;6;6;13,5;6;6;13,57;Graduate
1;0;0;20;5;3;11,33;5;2;10,67;Enrolled
1;0;0;21;5;0;0;5;0;0;Dropout
1;0;0;19;6;5;11,5;6;4;14,6;Graduate
1;0;1;18;8;7;12,08;8;7;12,08;Graduate
1;0;1;27;6;6;11,83;6;5;12,8;Graduate
1;0;1;19;5;5;13,4;5;5;12,4;Graduate
1;0;1;19;7;0;0;7;0;0;Dropout
1;0;0;19;6;5;14,2;6;6;14,57;Graduate
1;0;1;18;8;7;13,81;8;7;13,81;Graduate
1;0;1;20;6;4;11,25;6;6;10,5;Enrolled
1;0;1;18;6;6;14,5;6;6;13,67;Graduate
1;0;0;19;6;0;0;6;0;0;Dropout
1;0;0;36;7;6;11,3;7;6;11,3;Graduate
1;0;0;18;2;0;0;4;1;16;Enrolled
1;0;0;18;5;1;12;5;3;12;Enrolled
1;0;0;19;8;7;12,3;8;7;12,3;Graduate
1;0;1;18;8;7;12,69;8;7;12,69;Graduate
1;0;0;18;5;4;11;5;4;11;Graduate
1;0;1;19;6;6;13;6;6;14,17;Graduate
1;0;1;19;7;7;14,41;8;8;16,05;Graduate
1;0;0;18;7;7;12,93;8;8;14,06;Dropout
1;0;0;20;6;6;13,33;6;5;12,8;Graduate
1;0;1;20;6;5;12,8;6;5;12,8;Enrolled
1;0;0;20;8;7;14,4;8;7;14,4;Graduate
1;0;1;18;8;7;13,38;8;7;13,38;Graduate
1;0;0;18;7;7;14,13;8;8;13,98;Graduate
1;0;0;19;5;5;11,71;5;5;12,6;Graduate
1;0;0;19;5;5;11,8;5;4;11,25;Enrolled
1;0;0;44;6;6;11,17;6;2;11;Graduate
1;0;0;32;6;0;0;6;0;0;Dropout
1;0;0;22;6;5;13,6;6;5;12;Dropout
1;0;0;36;12;12;13,85;12;11;14,09;Graduate
1;0;1;18;6;6;12,5;6;6;13,33;Graduate
1;0;0;20;5;5;16,4;5;5;14,6;Graduate
1;0;1;20;11;11;13,82;11;11;13,45;Graduate
1;0;0;19;6;5;10,6;6;4;10,5;Graduate
1;0;0;24;5;5;10,2;5;5;12,2;Graduate
1;0;0;20;6;5;10,6;6;4;10,4;Enrolled
1;0;0;27;10;9;11,44;11;5;10,8;Dropout
1;0;0;20;6;5;14,33;8;8;12,63;Enrolled
1;0;1;23;16;16;13;13;13;13,27;Graduate
1;0;1;18;8;8;13,31;8;8;13,31;Graduate
1;0;1;18;6;5;10,57;6;5;12,2;Graduate
1;0;1;20;8;7;13,49;8;7;13,49;Graduate
1;0;1;20;6;6;12,33;6;6;11,83;Graduate
1;0;0;23;6;6;11,88;6;5;12,83;Dropout
1;0;0;20;7;6;13,97;7;6;13,97;Graduate
0;0;0;28;5;0;0;5;0;0;Dropout
1;0;0;21;5;4;11,5;5;5;12,8;Graduate
1;0;0;21;2;2;12,5;7;0;0;Dropout
1;0;0;28;7;0;0;8;0;0;Dropout
1;0;0;18;7;6;11,98;8;7;13,23;Graduate
1;0;1;21;6;5;13,2;6;5;11,8;Enrolled
1;0;0;19;7;6;11,61;8;8;14,04;Graduate
1;0;1;18;8;7;14,31;8;7;14,31;Graduate
1;0;0;19;7;0;0;8;0;0;Dropout
1;0;0;20;6;6;12,67;6;2;13;Enrolled
1;0;1;20;7;6;12,77;8;7;12,13;Graduate
1;0;1;18;6;6;12,67;6;5;12,2;Graduate
1;0;0;20;6;6;11,5;6;4;10,57;Dropout
1;0;0;31;6;5;11,4;6;4;11,75;Dropout
1;0;1;19;7;7;14,71;8;8;14,48;Graduate
1;0;1;19;7;6;11,81;8;7;13,54;Graduate
